0,1,2,3
Number,Privilege,Name,Description
"0x3A0
0x3A1
0x3A2
0x3A3
0x3AE
0x3AF
0x3B0
0x3B1
0x3EF","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","pmpcfg0
pmpcfg1
pmpcfg2
pmpcfg3
⋯
pmpcfg14
pmpcfg15
pmpaddr0
pmpaddr1
⋯
pmpaddr63","Physical memory protection configuration.
Physical memory protection configuration, RV32 only.
Physical memory protection configuration.
Physical memory protection configuration, RV32 only.
Physical memory protection configuration.
Physical memory protection configuration, RV32 only.
Physical memory protection address register.
Physical memory protection address register.
Physical memory protection address register."
,,M,achine State Enable Registers
"0x30C
0x30D
0x30E
0x30F
0x31C
0x31D
0x31E
0x31F","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mstateen0
mstateen1
mstateen2
mstateen3
mstateen0h
mstateen1h
mstateen2h
mstateen3h","Machine State Enable 0 Register.
Machine State Enable 1 Register.
Machine State Enable 2 Register.
Machine State Enable 3 Register.
Upper 32 bits of Machine State Enable 0 Register, RV32 only.
Upper 32 bits of Machine State Enable 1 Register, RV32 only.
Upper 32 bits of Machine State Enable 2 Register, RV32 only.
Upper 32 bits of Machine State Enable 3 Register, RV32 only."
,,Machin,e Non-Maskable Interrupt Handling
"0x740
0x741
0x742
0x744","MRW
MRW
MRW
MRW","mnscratch
mnepc
mncause
mnstatus","Resumable NMI scratch register.
Resumable NMI program counter.
Resumable NMI cause.
Resumable NMI status."
,,,Machine Counter/Timers
"0xB00
0xB02
0xB03
0xB04
0xB1F
0xB80
0xB82
0xB83
0xB84
0xB9F","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mcycle
minstret
mhpmcounter3
mhpmcounter4
⋮
mhpmcounter31
mcycleh
minstreth
mhpmcounter3h
mhpmcounter4h
⋮
mhpmcounter31h","Machine cycle counter.
Machine instructions-retired counter.
Machine performance-monitoring counter.
Machine performance-monitoring counter.
Machine performance-monitoring counter.
Upper 32 bits of mcycle, RV32 only.
Upper 32 bits of minstret, RV32 only.
Upper 32 bits of mhpmcounter3, RV32 only.
Upper 32 bits of mhpmcounter4, RV32 only.
Upper 32 bits of mhpmcounter31, RV32 only."
,,,Machine Counter Setup
"0x320
0x321
0x322
0x323
0x324
0x33F
0x721
0x722
0x723
0x724
0x73F","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mcountinhibit
mcyclecfg
minstretcfg
mhpmevent3
mhpmevent4
⋮
mhpmevent31
mcyclecfgh
minstretcfgh
mhpmevent3h
mhpmevent4h
⋮
mhpmevent31h","Machine counter-inhibit register.
Machine cycle counter configuration register.
Machine instret counter configuration register.
Machine performance-monitoring event selector.
Machine performance-monitoring event selector.
Machine performance-monitoring event selector.
Upper 32 bits of mcyclecfg, RV32 only.
Upper 32 bits of minstretcfg, RV32 only.
Upper 32 bits of mhpmevent3, RV32 only.
Upper 32 bits of mhpmevent4, RV32 only.
Upper 32 bits of mhpmevent31, RV32 only."
