0,1,2,3
Number,Privilege,Name,Description
,,Unpr,ivileged Floating-Point CSRs
"0x001
0x002
0x003","URW
URW
URW","fflags
frm
fcsr","Floating-Point Accrued Exceptions.
Floating-Point Dynamic Rounding Mode.
Floating-Point Control and Status Register (frm +fflags)."
,,U,nprivileged Vector CSRs
"0x008
0x009
0x00A
0x00F
0xC20
0xC21
0xC22","URW
URW
URW
URW
URO
URO
URO","vstart
vxsat
vxrm
vcsr
vl
vtype
vlenb","Vector start position.
Fixed-point accrued saturation flag.
Fixed-point rounding mode.
Vector control and status register.
Vector length.
Vector data type register.
Vector register length in bytes."
,,Unpri,vileged Zicfiss extension CSR
0x011,URW,ssp,Shadow Stack Pointer.
,,Unprivileg,ed Entropy Source Extension CSR
0x015,URW,seed,Seed for cryptographic random bit generators.
,,Unpr,ivileged Zcmt Extension CSR
0x017,URW,jvt,Table jump base vector and control register.
,,Un,privileged Counter/Timers
"0xC00
0xC01
0xC02
0xC03
0xC04
0xC1F
0xC80
0xC81
0xC82
0xC83
0xC84
0xC9F","URO
URO
URO
URO
URO
URO
URO
URO
URO
URO
URO
URO","cycle
time
instret
hpmcounter3
hpmcounter4
⋮
hpmcounter31
cycleh
timeh
instreth
hpmcounter3h
hpmcounter4h
⋮
hpmcounter31h","Cycle counter for RDCYCLE instruction.
Timer for RDTIME instruction.
Instructions-retired counter for RDINSTRET instruction.
Performance-monitoring counter.
Performance-monitoring counter.
Performance-monitoring counter.
Upper 32 bits of cycle, RV32 only.
Upper 32 bits of time, RV32 only.
Upper 32 bits of instret, RV32 only.
Upper 32 bits of hpmcounter3, RV32 only.
Upper 32 bits of hpmcounter4, RV32 only.
Upper 32 bits of hpmcounter31, RV32 only."
