0,1,2,3,4,5,6
siselect,sireg,sireg2,sireg3,sireg4,sireg5,sireg6
0x30,iprio0,none,none,none,none,none
…,…,…,…,…,…,…
0x3F,iprio15,none,none,none,none,none
0x40,cycle,cyclecfg,none,cycleh,cyclecfgh,none
0x41,none,none,none,none,none,none
0x42,instret,instretcfg,none,instreth,instretcfgh,none
0x43,hpmcounter3,hpmevent3,none,hpmcounter3h,hpmevent3h,none
…,…,…,…,…,…,…
0x5F,hpmcounter31,hpmevent31,none,"hpmcounter31
h",hpmevent31h,none
0x70,eidelivery,none,none,none,none,none
0x71,0,none,none,none,none,none
0x72,eithreshold,none,none,none,none,none
0x73,0,none,none,none,none,none
…,…,…,…,…,…,…
0x7F,0,none,none,none,none,none
0x80,eip0,none,none,none,none,none
…,…,…,…,…,…,…
0xBF,eip63,none,none,none,none,none
