0,1,2,3
Number,Privilege,Name,Description
,,S,upervisor Trap Setup
"0x100
0x104
0x105
0x106","SRW
SRW
SRW
SRW","sstatus
sie
stvec
scounteren","Supervisor status register.
Supervisor interrupt-enable register.
Supervisor trap handler base address.
Supervisor counter enable."
,,Su,pervisor Configuration
0x10A,SRW,senvcfg,Supervisor environment configuration register.
,,Su,pervisor Counter Setup
0x120,SRW,scountinhibit,Supervisor counter-inhibit register.
,,Su,pervisor Trap Handling
"0x140
0x141
0x142
0x143
0x144
0xDA0","SRW
SRW
SRW
SRW
SRW
SRO","sscratch
sepc
scause
stval
sip
scountovf","Supervisor scratch register.
Supervisor exception program counter.
Supervisor trap cause.
Supervisor trap value.
Supervisor interrupt pending.
Supervisor count overflow."
,,,Supervisor Indirect
"0x150
0x151
0x152
0x153
0x155
0x156
0x157","SRW
SRW
SRW
SRW
SRW
SRW
SRW","siselect
sireg
sireg2
sireg3
sireg4
sireg5
sireg6","Supervisor indirect register select.
Supervisor indirect register alias.
Supervisor indirect register alias 2.
Supervisor indirect register alias 3.
Supervisor indirect register alias 4.
Supervisor indirect register alias 5.
Supervisor indirect register alias 6."
,,Supervis,or Protection and Translation
0x180,SRW,satp,Supervisor address translation and protection.
,,Su,pervisor Timer Compare
"0x14D
0x15D","SRW
SRW","stimecmp
stimecmph","Supervisor timer compare.
Upper 32 bits of stimecmp, RV32 only."
,,D,ebug/Trace Registers
0x5A8,SRW,scontext,Supervisor-mode context register.
,,Supervisor Re,source Management Configuration
0x181,SRW,srmcfg,Supervisor Resource Management Configuration.
,,Super,visor State Enable Registers
"0x10C
0x10D
0x10E
0x10F","SRW
SRW
SRW
SRW","sstateen0
sstateen1
sstateen2
sstateen3","Supervisor State Enable 0 Register.
Supervisor State Enable 1 Register.
Supervisor State Enable 2 Register.
Supervisor State Enable 3 Register."
,,Supervisor Con,trol Transfer Records Configuration
"0x14E
0x14F
0x15F","SRW
SRW
SRW","sctrctl
sctrstatus
sctrdepth","Supervisor Control Transfer Records Control Register.
Supervisor Control Transfer Records Status Register.
Supervisor Control Transfer Records Depth Register."
