0,1,2,3
Number,Privilege,Name,Description
,,,Machine Information Registers
"0xF11
0xF12
0xF13
0xF14
0xF15","MRO
MRO
MRO
MRO
MRO","mvendorid
marchid
mimpid
mhartid
mconfigptr","Vendor ID.
Architecture ID.
Implementation ID.
Hardware thread ID.
Pointer to configuration data structure."
,,,Machine Trap Setup
"0x300
0x301
0x302
0x303
0x304
0x305
0x306
0x310
0x312","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mstatus
misa
medeleg
mideleg
mie
mtvec
mcounteren
mstatush
medelegh","Machine status register.
ISA and extensions
Machine exception delegation register.
Machine interrupt delegation register.
Machine interrupt-enable register.
Machine trap-handler base address.
Machine counter enable.
Additional machine status register, RV32 only.
Upper 32 bits of medeleg, RV32 only."
,,,Machine Trap Handling
"0x340
0x341
0x342
0x343
0x344
0x34A
0x34B","MRW
MRW
MRW
MRW
MRW
MRW
MRW","mscratch
mepc
mcause
mtval
mip
mtinst
mtval2","Machine scratch register.
Machine exception program counter.
Machine trap cause.
Machine trap value.
Machine interrupt pending.
Machine trap instruction (transformed).
Machine second trap value."
,,,Machine Configuration
"0x30A
0x31A
0x747
0x757","MRW
MRW
MRW
MRW","menvcfg
menvcfgh
mseccfg
mseccfgh","Machine environment configuration register.
Upper 32 bits of menvcfg, RV32 only.
Machine security configuration register.
Upper 32 bits of mseccfg, RV32 only."
,,,Machine Memory Protection
"0x3A0
0x3A1
0x3A2
0x3A3
0x3AE
0x3AF
0x3B0
0x3B1
0x3EF","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","pmpcfg0
pmpcfg1
pmpcfg2
pmpcfg3
⋯
pmpcfg14
pmpcfg15
pmpaddr0
pmpaddr1
⋯
pmpaddr63","Physical memory protection configuration.
Physical memory protection configuration, RV32 only.
Physical memory protection configuration.
Physical memory protection configuration, RV32 only.
Physical memory protection configuration.
Physical memory protection configuration, RV32 only.
Physical memory protection address register.
Physical memory protection address register.
Physical memory protection address register."
,,,Machine State Enable Registers
