0,1,2,3
Number,Privilege,Name,Description
,,Machine Non-,Maskable Interrupt Handling
"0x740
0x741
0x742
0x744","MRW
MRW
MRW
MRW","mnscratch
mnepc
mncause
mnstatus","Resumable NMI scratch register.
Resumable NMI program counter.
Resumable NMI cause.
Resumable NMI status."
,,Mach,ine Counter/Timers
"0xB00
0xB02
0xB03
0xB04
0xB1F
0xB80
0xB82
0xB83
0xB84
0xB9F","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mcycle
minstret
mhpmcounter3
mhpmcounter4
⋮
mhpmcounter31
mcycleh
minstreth
mhpmcounter3h
mhpmcounter4h
⋮
mhpmcounter31h","Machine cycle counter.
Machine instructions-retired counter.
Machine performance-monitoring counter.
Machine performance-monitoring counter.
Machine performance-monitoring counter.
Upper 32 bits of mcycle, RV32 only.
Upper 32 bits of minstret, RV32 only.
Upper 32 bits of mhpmcounter3, RV32 only.
Upper 32 bits of mhpmcounter4, RV32 only.
Upper 32 bits of mhpmcounter31, RV32 only."
,,Mac,hine Counter Setup
"0x320
0x323
0x324
0x33F
0x723
0x724
0x73F","MRW
MRW
MRW
MRW
MRW
MRW
MRW","mcountinhibit
mhpmevent3
mhpmevent4
⋮
mhpmevent31
mhpmevent3h
mhpmevent4h
⋮
mhpmevent31h","Machine counter-inhibit register.
Machine performance-monitoring event selector.
Machine performance-monitoring event selector.
Machine performance-monitoring event selector.
Upper 32 bits of mhpmevent3, RV32 only.
Upper 32 bits of mhpmevent4, RV32 only.
Upper 32 bits of mhpmevent31, RV32 only."
,,Debug/Trace Reg,isters (shared with Debug Mode)
"0x7A0
0x7A1
0x7A2
0x7A3
0x7A8","MRW
MRW
MRW
MRW
MRW","tselect
tdata1
tdata2
tdata3
mcontext","Debug/Trace trigger register select.
First Debug/Trace trigger data register.
Second Debug/Trace trigger data register.
Third Debug/Trace trigger data register.
Machine-mode context register."
,,Deb,ug Mode Registers
"0x7B0
0x7B1
0x7B2
0x7B3","DRW
DRW
DRW
DRW","dcsr
dpc
dscratch0
dscratch1","Debug control and status register.
Debug program counter.
Debug scratch register 0.
Debug scratch register 1."
